f_304,s_304,f_CR,s_CR,f_2024,s_2024,f_CI,s_CI,f_PMMA,s_PMMA
23.58,0.5185,,,,,,,,
23.59,0.5192,,,,,,,,
23.59,0.5201,,,,,,,,
23.6,0.521,,,,,,,,
23.6,0.522,,,,,,,,
23.6,0.5226,,,,,,,,
23.61,0.5234,,,,,,,,
23.61,0.5244,,,,,,,,
23.62,0.5252,,,,,,,,
23.62,0.5259,,,,,,,,
23.63,0.5271,,,,,,,,
23.63,0.528,,,,,,,,
23.64,0.5289,,,,,,,,
23.64,0.5296,,,,,,,,
23.64,0.5305,,,,,,,,
23.64,0.5313,,,,,,,,
23.65,0.5326,,,,,,,,
23.66,0.5332,,,,,,,,
23.66,0.5342,,,,,,,,
23.67,0.5345,,,,,,,,
23.67,0.5359,,,,,,,,
23.67,0.5366,,,,,,,,
23.67,0.5379,,,,,,,,
23.68,0.5387,,,,,,,,
23.69,0.5397,,,,,,,,
23.69,0.5404,,,,,,,,
23.69,0.5412,,,,,,,,
23.69,0.542,,,,,,,,
23.7,0.5431,,,,,,,,
23.7,0.544,,,,,,,,
23.7,0.5448,,,,,,,,
23.71,0.5459,,,,,,,,
23.71,0.5467,,,,,,,,
23.72,0.5479,,,,,,,,
23.72,0.5485,,,,,,,,
23.72,0.5496,,,,,,,,
23.73,0.5506,,,,,,,,
23.73,0.5513,,,,,,,,
23.73,0.5519,,,,,,,,
23.74,0.5531,,,,,,,,
23.74,0.5539,,,,,,,,
23.75,0.555,,,,,,,,
23.75,0.5559,,,,,,,,
23.75,0.5568,,,,,,,,
23.75,0.558,,,,,,,,
23.75,0.5589,,,,,,,,
23.76,0.5598,,,,,,,,
23.76,0.5607,,,,,,,,
23.77,0.5617,,,,,,,,
23.77,0.5625,,,,,,,,
23.77,0.5636,,,,,,,,
23.77,0.5642,,,,,,,,
23.77,0.5654,,,,,,,,
23.78,0.5662,,,,,,,,
23.78,0.5671,,,,,,,,
23.78,0.5682,,,,,,,,
23.79,0.5692,,,,,,,,
23.79,0.5703,,,,,,,,
23.79,0.571,,,,,,,,
23.8,0.5721,,,,,,,,
23.8,0.5731,,,,,,,,
23.8,0.5741,,,,,,,,
23.8,0.5751,,,,,,,,
23.8,0.5764,,,,,,,,
23.81,0.577,,,,,,,,
23.81,0.5778,,,,,,,,
23.81,0.5789,,,,,,,,
23.81,0.5798,,,,,,,,
23.82,0.5807,,,,,,,,
23.82,0.5819,,,,,,,,
23.82,0.5828,,,,,,,,
23.82,0.5837,,,,,,,,
23.82,0.5844,,,,,,,,
23.82,0.5856,,,,,,,,
23.83,0.5866,,,,,,,,
23.83,0.5876,,,,,,,,
23.83,0.5888,,,,,,,,
23.83,0.5897,,,,,,,,
23.83,0.5909,,,,,,,,
23.83,0.5918,,,,,,,,
23.84,0.5925,,,,,,,,
23.84,0.5937,,,,,,,,
23.84,0.5948,,,,,,,,
23.84,0.5958,,,,,,,,
23.84,0.5968,,,,,,,,
23.84,0.5979,,,,,,,,
23.84,0.5991,,,,,,,,
23.85,0.6001,,,,,,,,
23.85,0.601,,,,,,,,
23.84,0.6018,,,,,,,,
23.84,0.6031,,,,,,,,
23.85,0.6041,,,,,,,,
23.85,0.605,,,,,,,,
23.85,0.6063,,,,,,,,
23.85,0.6075,,,,,,,,
23.84,0.6084,,,,,,,,
23.84,0.6094,,,,,,,,
23.85,0.6104,,,,,,,,
23.84,0.6115,,,,,,,,
23.84,0.6124,,,,,,,,
23.85,0.6139,,,,,,,,
23.84,0.6151,,,,,,,,
23.84,0.616,,,,,,,,
23.84,0.6169,,,,,,,,
23.84,0.618,,,,,,,,
23.84,0.6191,,,,,,,,
23.84,0.6203,,,,,,,,
23.83,0.6214,,,,,,,,
23.83,0.6225,,,,,,,,
23.83,0.6231,,,,,,,,
23.83,0.6247,,,,,,,,
23.82,0.6254,,,,,,,,
23.82,0.6269,,,,,,,,
23.81,0.6282,,,,,,,,
23.82,0.6294,,,,,,,,
23.81,0.6305,,,,,,,,
23.8,0.6313,,,,,,,,
23.79,0.6328,,,,,,,,
23.79,0.6338,,,,,,,,
23.78,0.6351,,,,,,,,
23.77,0.6363,,,,,,,,
23.77,0.6374,,,,,,,,
23.75,0.6385,,,,,,,,
23.75,0.6397,,,,,,,,
23.74,0.641,,,,,,,,
23.73,0.6422,,,,,,,,
23.72,0.6434,,,,,,,,
23.7,0.6445,,,,,,,,
23.7,0.6461,,,,,,,,
23.68,0.6471,,,,,,,,
23.66,0.6484,,,,,,,,
23.65,0.6493,,,,,,,,
23.63,0.6508,,,,,,,,
23.61,0.6522,,,,,,,,
23.59,0.6533,,,,,,,,
23.57,0.6546,,,,,,,,
23.55,0.6558,,,,,,,,
23.52,0.6574,,,,,,,,
23.5,0.6583,,,,,,,,
23.47,0.6599,,,,,,,,
23.44,0.6614,,,,,,,,
23.41,0.6618,,,,,,,,
23.38,0.6639,,,,,,,,
23.35,0.665,,,,,,,,
23.31,0.6666,,,,,,,,
23.27,0.6676,,,,,,,,
23.23,0.6689,,,,,,,,
23.19,0.6704,,,,,,,,
23.15,0.6714,,,,,,,,
23.1,0.673,,,,,,,,
23.06,0.6741,,,,,,,,
23,0.6754,,,,,,,,
22.95,0.6768,,,,,,,,
22.9,0.6783,,,,,,,,
22.84,0.6794,,,,,,,,
22.78,0.6808,,,,,,,,
22.72,0.6824,,,,,,,,
22.66,0.6837,,,,,,,,
22.59,0.6853,,,,,,,,
22.52,0.6867,,,,,,,,
22.46,0.6878,,,,,,,,
22.38,0.6893,,,,,,,,
22.31,0.6905,,,,,,,,
22.23,0.6916,,,,,,,,
22.15,0.6935,,,,,,,,
22.07,0.6948,,,,,,,,
21.98,0.6961,,,,,,,,
21.89,0.6977,,,,,,,,
21.8,0.6991,,,,,,,,
21.7,0.7002,,,,,,,,
21.61,0.7018,,,,,,,,
21.51,0.703,,,,,,,,
21.41,0.7047,,,,,,,,
21.3,0.7059,,,,,,,,
21.19,0.7074,,,,,,,,
21.08,0.7088,,,,,,,,
20.97,0.7103,,,,,,,,
20.85,0.712,,,,,,,,
20.73,0.7132,,,,,,,,
20.6,0.7148,,,,,,,,
20.48,0.716,,,,,,,,
20.34,0.7171,,,,,,,,
20.22,0.7184,,,,,,,,
20.07,0.7206,,,,,,,,
19.93,0.7219,,,,,,,,
19.78,0.7235,,,,,,,,
19.63,0.7249,,,,,,,,
19.48,0.7263,,,,,,,,
19.32,0.7279,,,,,,,,
19.17,0.7293,,,,,,,,
19,0.7308,,,,,,,,
18.83,0.7324,,,,,,,,
18.65,0.7341,,,,,,,,
18.47,0.7353,,,,,,,,
18.3,0.7372,,,,,,,,
18.1,0.7386,,,,,,,,
17.91,0.7401,,,,,,,,
17.71,0.7421,,,,,,,,
17.5,0.7431,,,,,,,,
17.3,0.7449,,,,,,,,
17.08,0.7462,,,,,,,,
16.86,0.7478,,,,,,,,
16.63,0.7494,,,,,,,,
16.4,0.7509,,,,,,,,
16.16,0.7525,,,,,,,,
15.91,0.7536,,,,,,,,
15.65,0.7558,,,,,,,,
15.39,0.7575,,,,,,,,
15.11,0.7591,,,,,,,,
14.83,0.7608,,,,,,,,
14.54,0.7624,,,,,,,,
14.24,0.764,,,,,,,,
4.574,0.8249,,,,,,,,
